Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Avg. seconds,Avg. minutes
Office of the Mayor : Contact the Mayor,25119,17115,0:04:03,8688,63.37,55.71,243,4.05
San Francisco Port Department : Vessel Schedule,25058,12227,0:00:44,9401,22.96,36.38,44,0.73
2015_GR_Worksheet_3.17.15.pdf | Treasurer & Tax Collector,24560,15601,0:02:43,880,27.79,23.9,163,2.72
San Francisco Public Works : Mobile Food Facilities,24560,13212,0:00:57,12576,31.09,51.02,57,0.95
San Francisco 311 : Streets and Sidewalks,24347,18309,0:00:35,4307,49.59,18.85,35,0.58
Mandatory Soft Story Program | Department of Building Inspection,24310,17068,0:02:23,14639,61.52,53.61,143,2.38
City and County of San Francisco : Fictitious Business Names,24005,14144,0:01:03,9482,46.51,34.38,63,1.05
Visitors | Welcome,23945,18118,0:01:46,3632,50.05,46.04,106,1.77
City and County of San Francisco : Forms - Birth & Death Certificates,23873,20592,0:02:40,3951,60.29,53.86,160,2.67
San Francisco : San Francisco WiFi,23526,20764,0:03:45,20235,86.2,83.51,225,3.75
Mayor's Office of Housing and Community Development : New BMR Units: 1400 Mission Street,23498,18955,0:03:32,9930,78.56,56.63,212,3.53
Business | Welcome,23487,15455,0:00:59,4614,26.33,34.72,59,0.98
San Francisco Port Department : Cruise,23406,11630,0:00:31,9047,18.97,34.67,31,0.52
City and County of San Francisco : Fictitious Business Name,23166,13592,0:01:00,8468,45.47,31.42,60,1
General Services | Treasurer & Tax Collector,23023,18298,0:00:29,855,22.95,8.29,29,0.48
Business Registration Information | Treasurer & Tax Collector,22934,14738,0:00:38,1754,22.99,8.04,38,0.63
City and County of San Francisco : SPECIAL WEEKDAY WEDDING PACKAGE,22885,16516,0:01:29,5601,55.92,34.86,89,1.48
City and County of San Francisco : SF City ID Card - How to Get a Card,22878,17060,0:02:24,8732,70.78,51.61,144,2.4
City and County of San Francisco : Search For Adoptable Animals,22417,16727,0:02:54,3967,68.87,53.25,174,2.9
San Francisco Port Department : Port Events,22393,5157,0:00:15,1345,23.35,9.9,15,0.25
City and County of San Francisco : Fictitious Business Name (FBN) Filing Instructions,22327,15347,0:01:43,8570,46.47,35.57,103,1.72
DBI Permit Tracking System | Department of Building Inspection,22109,15750,0:02:27,11828,46.69,59.7,147,2.45
City and County of San Francisco : About Us,22092,15851,0:00:43,2044,69.28,20.58,43,0.72
Supplemental Property Tax | Treasurer & Tax Collector,22087,19566,0:03:03,16867,82.03,74.09,183,3.05
City and County of San Francisco : Photo Gallery,21924,11682,0:00:12,1152,27.34,6.65,12,0.2
San Francisco Port Department : Job Opportunities,21711,8886,0:00:36,6044,20.02,33.35,36,0.6
San Francisco Port Department : Search,21484,9760,0:00:36,1150,0.35,19.73,36,0.6
City and County of San Francisco : Qualify to Do Business,21410,15643,0:03:21,9823,66.11,54.65,201,3.35
Mayor's Office of Housing and Community Development : Lender List,21313,18690,0:03:55,10677,82.04,62.21,235,3.92
Board of Supervisors : Search,21255,19292,0:01:26,2187,82.72,32.11,86,1.43
Departments and Agencies | Welcome,21230,16346,0:02:23,3637,54.45,50.79,143,2.38
Office of the County Clerk,21226,15939,0:00:35,15459,14.85,18.32,35,0.58
Fees | Department of Building Inspection,21181,14873,0:02:03,4608,51.99,35.59,123,2.05
Mayor's Office of Housing : Inclusionary Housing Below Market Rate (BMR) Ownership Program,21121,16563,0:01:38,9083,62.59,42.55,98,1.63
Landlord & Tenant Information | Rent Board,21118,9221,0:00:45,3648,24.9,12.1,45,0.75
San Francisco Police Department : Job Openings at the San Francisco Police Department,21106,17472,0:01:42,9119,55.49,47.54,102,1.7
Controller : Search,20902,19313,0:01:15,7805,96.63,56.02,75,1.25
Mayor's Office of Housing and Community Development : Approved First-Time Home Buyer Counseling Agencies,20770,16397,0:03:32,6043,78.57,52.17,212,3.53
San Francisco Department of Human Resources : Employee Handbook,20699,17553,0:02:48,5456,64.2,47.45,168,2.8
Mayor's Office of Housing : Housing Developments Accepting Applications,20439,14452,0:02:38,7605,76.98,50.9,158,2.63
San Francisco : Government,20391,15732,0:01:19,8063,55.15,44.17,79,1.32
San Francisco Public Works : Redirect,20265,19997,0:01:23,19949,98.46,97.97,83,1.38
San Francisco Police Department : SFPD Command Staff,20224,16021,0:00:58,7194,68.15,37.78,58,0.97
Board of Supervisors : Jane Kim,20207,15299,0:00:52,7489,54.4,32.08,52,0.87
City and County of San Francisco : Small Animals - Adoption Center,20131,12059,0:00:40,3257,48.08,24.52,40,0.67
Board of Supervisors : Contact,20056,16838,0:02:56,6900,65.81,44.19,176,2.93
San Francisco District Attorney : Employment & Internship,19728,17361,0:02:56,11168,83.39,72,176,2.93
Sexual Harassment: Frequently Asked Questions | Department on the Status of Women,19701,17948,0:04:22,17907,92.48,90.43,262,4.37
San Francisco Police Department : SFPD Academy,19661,16166,0:01:05,9699,58.51,40.94,65,1.08
Board of Supervisors : Katy Tang,19605,13863,0:00:43,6115,50.02,25.03,43,0.72
San Francisco Department of Human Resources : Contact Us,19571,17040,0:02:40,9563,73.17,60.4,160,2.67
Board of Supervisors : London Breed,19542,14757,0:00:52,6480,53.41,28.75,52,0.87
City and County of San Francisco : Public Notices & Meetings,19461,14140,0:00:21,943,39.81,11.18,21,0.35
City and County of San Francisco : Redirect,19401,18956,0:00:55,18925,97.33,96.79,55,0.92
Board of Supervisors : Scott Wiener,19257,14179,0:00:49,6449,48.78,29.84,49,0.82
Mayor's Office of Housing and Community Development : Loan Assistance For First Time Homebuyers,19099,15338,0:01:34,8138,61.93,38.1,94,1.57
Mayor's Office of Housing and Community Development : Inclusionary Housing BMR Ownership Program Overview,19089,16364,0:04:40,13250,73.86,69.35,280,4.67
City and County of San Francisco : Event Rental Fees,18854,14330,0:01:34,4360,60.14,35.28,94,1.57
San Francisco 311 : Street and Sidewalk Cleaning,18824,15791,0:02:42,8186,82.67,69.93,162,2.7
Property Tax Resource Center | Treasurer & Tax Collector,18773,12986,0:00:30,817,23.9,8.32,30,0.5
San Francisco District Attorney : Contact Us,18747,13768,0:01:52,5882,70.62,52.41,112,1.87
Registration Renewal & Payroll Expense Tax Filing | Treasurer & Tax Collector,18629,13636,0:00:52,8121,9.99,10.28,52,0.87
City and County of San Francisco : Employer Annual Reporting Form Instructions,18626,13383,0:05:53,8597,63.73,56.96,353,5.88
Mayor's Office of Housing and Community Development : BMR Rental Application,18602,15647,0:02:32,8207,77.52,55.31,152,2.53
Personal Identification Number (PIN) Information | Treasurer & Tax Collector,18585,14081,0:04:21,5170,59.96,47.59,261,4.35
San Francisco : Business,18450,13271,0:01:21,8215,60.91,48.62,81,1.35
City and County of San Francisco : SF City ID Card,18413,13955,0:00:57,11028,31.86,29.27,57,0.95
San Francisco Port Department : Cruise Terminal ─ The James R. Herman at Pier 27,18340,8003,0:00:38,4108,13.53,29.2,38,0.63
Rules | Civil Service Commission,18306,10250,0:00:39,4195,33.11,14.98,39,0.65
Information for Lessors of Residential Real Estate (Residential Landlords) | Treasurer & Tax Collector,18247,12671,0:03:34,6557,42.79,30.77,214,3.57
San Francisco Public Works : Street Space Occupancy Permit,18241,8669,0:01:12,7196,25.53,36.56,72,1.2
San Francisco Police Department : Central Station,18225,15749,0:00:52,5561,82.23,39.78,52,0.87
San Francisco 311 : Request Service,18193,14645,0:00:33,8203,37.47,25.13,33,0.55
Inspection Scheduling Procedures | Department of Building Inspection,18004,13471,0:01:51,4112,66.06,44.12,111,1.85
Human Rights Commission,17989,14047,0:01:18,13262,48.52,46.49,78,1.3
San Francisco Public Works : Bureaus and Divisions,17940,7875,0:00:34,3762,15.87,24.83,34,0.57
San Francisco Port Department : RFPs / RFQs,17787,6761,0:00:36,4770,1.74,27.99,36,0.6
San Francisco Police Department : Police Commission,17785,13346,0:00:51,8052,71.29,42.06,51,0.85
San Francisco Fire Department : Training Schedule & Registration,17775,15013,0:03:23,10267,77.88,69,203,3.38
San Francisco Police Department : Southern Station,17646,14840,0:00:56,6339,79.93,43.59,56,0.93
San Francisco : Search,17625,14402,0:01:33,2442,95.99,52.78,93,1.55
Administrative Bulletins | Department of Building Inspection,17526,13569,0:02:41,4431,59.9,44.73,161,2.68
Board of Supervisors : Malia Cohen,17414,12873,0:00:50,6117,51.56,30,50,0.83
San Francisco Port Department : Maps and Webcams of Port Property,17394,5428,0:00:18,1261,5.23,10.99,18,0.3
2015 Tax Rates | Treasurer & Tax Collector,17386,11622,0:02:35,2945,63.52,31.16,155,2.58
Board of Supervisors : Julie Christensen,17358,13550,0:00:55,5391,61.51,33.77,55,0.92
Adult Probation Department,17343,12840,0:01:31,10699,38.7,36.6,91,1.52
San Francisco Port Department : Pier 27 Cruise Terminal,17286,7543,0:00:29,4821,12.78,27.52,29,0.48
San Francisco Public Works : Jobs and Internships,17219,9112,0:00:50,5989,36.08,43.97,50,0.83
City and County of San Francisco : Contract Monitoring Division,17213,12851,0:01:08,9733,21.79,20.04,68,1.13
San Francisco Fire Department : Neighborhood Emergency Response Team (NERT),17031,14467,0:01:24,12385,51.31,46.57,84,1.4
San Francisco Department of Human Resources : HR Professionals,17008,13782,0:00:33,6527,31.29,20.29,33,0.55
San Francisco Gross Receipts Tax | San Francisco,16994,12158,0:04:46,11508,68.34,67.16,286,4.77
In-Person Services | Treasurer & Tax Collector,16921,12725,0:00:26,565,18.94,6.99,26,0.43
Board of Supervisors : 2015,16851,8388,0:01:28,1653,59.41,23.87,88,1.47
San Francisco Rent Board : Section 37.9 Evictions,16832,14386,0:04:39,7724,75.91,61.32,279,4.65
San Francisco : Visitors,16772,13776,0:01:42,9315,72.09,61.6,102,1.7
San Francisco Police Department : Department News and Updates,16708,10563,0:00:34,4289,71.39,32.67,34,0.57
SFERS : Home,16670,13261,0:00:34,11069,51.91,39.95,34,0.57
